_id,DISTRICTE,BARRI,GRUP,HABITANTS GRUP,HABITANTS,HABITANTS 20-70,TOTAL,LLIURES,ORA,GUALS,PÀRQUINGS,SOLARS,ALTRES,TURISMES,PLACES/HABITANTS,PLACES/HABITANTS 20-70,PLACES/TURISMES,HABITANTS/TURISMES,HABITANTS 20-70/TURISMES,HABITANTS/HABITANTS 20-70
162,QUATRE CARRERES,Districte,35 - 39,5245,"","","","","","","","","","","","","","","",""
163,POBLATS MARITIMS,Districte,35 - 39,4010,"","","","","","","","","","","","","","","",""
164,CAMINS AL GRAU,Districte,35 - 39,4506,"","","","","","","","","","","","","","","",""
165,ALGIROS,Districte,35 - 39,2336,"","","","","","","","","","","","","","","",""
166,BENIMACLET,Districte,35 - 39,2098,"","","","","","","","","","","","","","","",""
167,RASCANYA,Districte,35 - 39,3903,"","","","","","","","","","","","","","","",""
168,BENICALAP,Districte,35 - 39,3900,"","","","","","","","","","","","","","","",""
169,POBLATS DEL NORD,Districte,35 - 39,388,"","","","","","","","","","","","","","","",""
170,POBLATS DE L'OEST,Districte,35 - 39,1136,"","","","","","","","","","","","","","","",""
171,POBLATS DEL SUD,Districte,35 - 39,1508,"","","","","","","","","","","","","","","",""
172,CIUTAT VELLA,Districte,40 - 44,2323,"","","","","","","","","","","","","","","",""
173,L'EIXAMPLE,Districte,40 - 44,3382,"","","","","","","","","","","","","","","",""
174,EXTRAMURS,Districte,40 - 44,3719,"","","","","","","","","","","","","","","",""
175,CAMPANAR,Districte,40 - 44,3337,"","","","","","","","","","","","","","","",""
176,LA SAIDIA,Districte,40 - 44,3708,"","","","","","","","","","","","","","","",""
177,EL PLA DEL REAL,Districte,40 - 44,2186,"","","","","","","","","","","","","","","",""
178,L'OLIVERETA,Districte,40 - 44,3879,"","","","","","","","","","","","","","","",""
179,PATRAIX,Districte,40 - 44,4605,"","","","","","","","","","","","","","","",""
180,JESUS,Districte,40 - 44,4562,"","","","","","","","","","","","","","","",""
181,QUATRE CARRERES,Districte,40 - 44,6174,"","","","","","","","","","","","","","","",""
182,POBLATS MARITIMS,Districte,40 - 44,4509,"","","","","","","","","","","","","","","",""
183,CAMINS AL GRAU,Districte,40 - 44,5705,"","","","","","","","","","","","","","","",""
184,ALGIROS,Districte,40 - 44,2552,"","","","","","","","","","","","","","","",""
185,BENIMACLET,Districte,40 - 44,2119,"","","","","","","","","","","","","","","",""
186,RASCANYA,Districte,40 - 44,4918,"","","","","","","","","","","","","","","",""
187,BENICALAP,Districte,40 - 44,4223,"","","","","","","","","","","","","","","",""
188,POBLATS DEL NORD,Districte,40 - 44,517,"","","","","","","","","","","","","","","",""
189,POBLATS DE L'OEST,Districte,40 - 44,1304,"","","","","","","","","","","","","","","",""
190,POBLATS DEL SUD,Districte,40 - 44,1734,"","","","","","","","","","","","","","","",""
191,CIUTAT VELLA,Districte,45 - 49,2264,"","","","","","","","","","","","","","","",""
192,L'EIXAMPLE,Districte,45 - 49,3361,"","","","","","","","","","","","","","","",""
193,EXTRAMURS,Districte,45 - 49,3721,"","","","","","","","","","","","","","","",""
194,CAMPANAR,Districte,45 - 49,3174,"","","","","","","","","","","","","","","",""
195,LA SAIDIA,Districte,45 - 49,3531,"","","","","","","","","","","","","","","",""
