Carrer / Calle;Tipus Carrer / Tipo Calle;Núm. Finca;OBJECTID;geo_shape;geo_point_2d
NARANJOS;AV;S/N;37642;"{""coordinates"": [-0.34499052793162466, 39.4795060843023], ""type"": ""Point""}";39.4795060843023, -0.34499052793162466
OEST;AV;51ac;37644;"{""coordinates"": [-0.3795186208569017, 39.469172875290305], ""type"": ""Point""}";39.469172875290305, -0.3795186208569017
DOCTOR ZAMENHOF;C;1ac;37646;"{""coordinates"": [-0.38984922440593206, 39.47653963871378], ""type"": ""Point""}";39.47653963871378, -0.38984922440593206
RAMON Y CAJAL;G.V.;11;37647;"{""coordinates"": [-0.38084804612898415, 39.46410305800222], ""type"": ""Point""}";39.46410305800222, -0.38084804612898415
DOCTOR GOMEZ FERRER;C;4;37649;"{""coordinates"": [-0.3613459910967004, 39.47903172987797], ""type"": ""Point""}";39.47903172987797, -0.3613459910967004
MARQUES DE DOS AGUAS;C;7;37651;"{""coordinates"": [-0.37435073437871685, 39.47286341714924], ""type"": ""Point""}";39.47286341714924, -0.37435073437871685
CIUDAD DE BRUJAS;PL;5;37653;"{""coordinates"": [-0.3798580130107611, 39.47379749305067], ""type"": ""Point""}";39.47379749305067, -0.3798580130107611
EDUARDO BOSCA;C;29;37656;"{""coordinates"": [-0.35763879018528155, 39.464510703414085], ""type"": ""Point""}";39.464510703414085, -0.35763879018528155
XATIVA;C;21;37667;"{""coordinates"": [-0.37550999504314586, 39.467281862509196], ""type"": ""Point""}";39.467281862509196, -0.37550999504314586
EDUARDO PRIMO YUFERA (CIENTIFIC);C;S/N;37669;"{""coordinates"": [-0.34760111491357587, 39.45223217152221], ""type"": ""Point""}";39.45223217152221, -0.34760111491357587
ALFONSO EL MAGNANIMO;PL;9ac;37670;"{""coordinates"": [-0.3709505268922483, 39.47173500062525], ""type"": ""Point""}";39.47173500062525, -0.3709505268922483
JOAQUIN BENLLOCH;C;20;37671;"{""coordinates"": [-0.3764236436806472, 39.45305330292055], ""type"": ""Point""}";39.45305330292055, -0.3764236436806472
