OBJECTID;Àngul / Ángulo;Id. Càmera / Id. Cámara;Tipus Càmera / Tipo Cámara;Pas Inferior / Paso Inferior;Descripció / Descripción;URL;geo_shape;geo_point_2d
114517;222.94000244;00706;CF;No;COLON - PL. LOS PINAZO direccion JATIVA;https://camaras.valencia.es/camaras/visualizador.html?id=00706;"{""coordinates"": [-0.37053887426601523, 39.47023869634639], ""type"": ""Point""}";39.47023869634639, -0.37053887426601523
114519;37.54999924;00805;CF;No;PUENTE DEL REAL direccion LLANO DEL REAL;https://camaras.valencia.es/camaras/visualizador.html?id=00805;"{""coordinates"": [-0.36927504558414015, 39.475713559401115], ""type"": ""Point""}";39.475713559401115, -0.36927504558414015
114527;327.45999146;01002;CF;No;PUENTE DE ADEMUZ direccion PIO XII;https://camaras.valencia.es/camaras/visualizador.html?id=01002;"{""coordinates"": [-0.38995706893161663, 39.47762250530949], ""type"": ""Point""}";39.47762250530949, -0.38995706893161663
114530;146.30000305;01103;CF;No;PASO ELEVADO DE PERIS Y VALERO direccion PERIS Y VALERO;https://camaras.valencia.es/camaras/visualizador.html?id=01103;"{""coordinates"": [-0.3834949846162692, 39.45781221228701], ""type"": ""Point""}";39.45781221228701, -0.3834949846162692
114532;329.02999878;01204;CF;No;PEREZ GALDOS direccion MAESTRO RODRIGO;https://camaras.valencia.es/camaras/visualizador.html?id=01204;"{""coordinates"": [-0.3867417249448856, 39.46259912839594], ""type"": ""Point""}";39.46259912839594, -0.3867417249448856
114541;58.86999893;01306;CF;Si;P.I. PECHINA direccion GUILLEM DE CASTRO;https://camaras.valencia.es/camaras/visualizador.html?id=01306;"{""coordinates"": [-0.39341287551305704, 39.476190195864554], ""type"": ""Point""}";39.476190195864554, -0.39341287551305704
114549;334.76000977;00103;CF;No;RUZAFA direccion JATIVA;https://camaras.valencia.es/camaras/visualizador.html?id=00103;"{""coordinates"": [-0.37372464141720074, 39.46475374965925], ""type"": ""Point""}";39.46475374965925, -0.37372464141720074
114550;18.44000053;00305;CF;No;CARDENAL BENLLOCH direccion BLASCO IBAAEZ;https://camaras.valencia.es/camaras/visualizador.html?id=00305;"{""coordinates"": [-0.35653755804817766, 39.46702779169492], ""type"": ""Point""}";39.46702779169492, -0.35653755804817766
114571;226.47000122;03106;CF;No;PUENTE DEL REAL direccion PL. TEMPLE;https://camaras.valencia.es/camaras/visualizador.html?id=03106;"{""coordinates"": [-0.36768781406391743, 39.47696920463602], ""type"": ""Point""}";39.47696920463602, -0.36768781406391743
114577;18.44000053;03205;CF;No;CARDENAL BENLLOCH direccion CLARIANO;https://camaras.valencia.es/camaras/visualizador.html?id=03205;"{""coordinates"": [-0.3543477655694006, 39.471485407032695], ""type"": ""Point""}";39.471485407032695, -0.3543477655694006
114579;65.48000336;03204;CF;No;YECLA direccion DR. MANUEL CANDELA;https://camaras.valencia.es/camaras/visualizador.html?id=03204;"{""coordinates"": [-0.3543110757424337, 39.471459797628484], ""type"": ""Point""}";39.471459797628484, -0.3543110757424337
114865;0.0;10407;CF;;;https://camaras.valencia.es/camaras/visualizador.html?id=10407;"{""coordinates"": [-0.38021137593055776, 39.463784777442584], ""type"": ""Point""}";39.463784777442584, -0.38021137593055776
114866;0.0;10408;CF;;;https://camaras.valencia.es/camaras/visualizador.html?id=10408;"{""coordinates"": [-0.38063299218949276, 39.464386970557335], ""type"": ""Point""}";39.464386970557335, -0.38063299218949276
114597;21.10000038;02103;CF;No;AV. CONSTITUCION direccion HERMANOS MACHADO;https://camaras.valencia.es/camaras/visualizador.html?id=02103;"{""coordinates"": [-0.37382073840893487, 39.49222343216232], ""type"": ""Point""}";39.49222343216232, -0.37382073840893487
114600;255.52999878;02104;CF;No;DR. PESET ALEIXANDRE direccion GENERAL AVILES;https://camaras.valencia.es/camaras/visualizador.html?id=02104;"{""coordinates"": [-0.3739094757040087, 39.49216724110972], ""type"": ""Point""}";39.49216724110972, -0.3739094757040087
114606;59.81000137;04903;CF;No;HERMANOS MARISTAS direccion INSTITUTO OBRERO DE VALENCIA;https://camaras.valencia.es/camaras/visualizador.html?id=04903;"{""coordinates"": [-0.3709495052177696, 39.450167547277616], ""type"": ""Point""}";39.450167547277616, -0.3709495052177696
114613;146.30000305;05004;CF;No;PIO XII direccion PUENTE DE ADEMUZ;https://camaras.valencia.es/camaras/visualizador.html?id=05004;"{""coordinates"": [-0.39621625246673015, 39.48571409693426], ""type"": ""Point""}";39.48571409693426, -0.39621625246673015
114615;0.0;07203;CF;Si;P.I. DR. PESET ALEIXANDRE - PRIMADO REIG direccion P.I. DR. PESET ALEIXANDRE - PRIMADO REIG;https://camaras.valencia.es/camaras/visualizador.html?id=07203;"{""coordinates"": [-0.3737500335235566, 39.49201066859609], ""type"": ""Point""}";39.49201066859609, -0.3737500335235566
114617;87.45999908;07202;CF;Si;P.I. DR. PESET ALEIXANDRE - PRIMADO REIG direccion PRIMADO REIG;https://camaras.valencia.es/camaras/visualizador.html?id=07202;"{""coordinates"": [-0.3732023782398001, 39.491631452070976], ""type"": ""Point""}";39.491631452070976, -0.3732023782398001
114618;135.22000122;07201;CF;Si;P.I. DR. PESET ALEIXANDRE - PRIMADO REIG direccion PRIMADO REIG;https://camaras.valencia.es/camaras/visualizador.html?id=07201;"{""coordinates"": [-0.3721484289384343, 39.49084034412946], ""type"": ""Point""}";39.49084034412946, -0.3721484289384343
