objectid;Código;Bocas;Situación;Estado;Tipo calle;Calle;Número;APERTURA;M_DERECHA;M_INFERIOR;M_IZQUIERDA;OPERATIVO;geo_shape;geo_point_2d
3458;H1069;1 O 70;U;O;C;PINTOR FERRER CALATAYUD;8;D;;2.0;;S;"{""coordinates"": [-0.3359202906386202, 39.46700842953188], ""type"": ""Point""}";39.46700842953188, -0.3359202906386202
3463;H1150;3 O 70;U;O;C;SERRERIA;16;D;2.0;0.5;;S;"{""coordinates"": [-0.3355115429164801, 39.465072006822275], ""type"": ""Point""}";39.465072006822275, -0.3355115429164801
3470;H832;3 O 70;U;O;C;GREMIS, DELS;8;D;;1.0;;S;"{""coordinates"": [-0.41027629917868874, 39.45993673602305], ""type"": ""Point""}";39.45993673602305, -0.41027629917868874
3475;H627;3 O 70;U;O;C;PINTOR AGRASOT;Pares;D;;0.5;;S;"{""coordinates"": [-0.3975315426681203, 39.4539161056637], ""type"": ""Point""}";39.4539161056637, -0.3975315426681203
3486;H534;3 O 70;U;O;AV;BLASCO IBAÑEZ;28;D;;4.0;;S;"{""coordinates"": [-0.36178858527265695, 39.477632240410465], ""type"": ""Point""}";39.477632240410465, -0.36178858527265695
3488;H311;3 O 70;U;O;Avd;MENENDEZ Y PELAYO;23;I;;1.5;;S;"{""coordinates"": [-0.3568699438931661, 39.47825821272514], ""type"": ""Point""}";39.47825821272514, -0.3568699438931661
3497;H282;3 O 70;U;O;C;VICENTE BARRERA CAMBRA;3;I;;2.0;;S;"{""coordinates"": [-0.3570545509315713, 39.48107828832218], ""type"": ""Point""}";39.48107828832218, -0.3570545509315713
3500;H284;3 O 70;U;O;C;GUARDIA CIVIL, LA;20;I;;2.0;;S;"{""coordinates"": [-0.35740539774440133, 39.48183319269134], ""type"": ""Point""}";39.48183319269134, -0.35740539774440133
3502;H298;3 O 70;U;O;AV;RAMON ASENSIO;2;I;;8.0;;S;"{""coordinates"": [-0.3592976929079786, 39.481405737662115], ""type"": ""Point""}";39.481405737662115, -0.3592976929079786
3503;H326;3 O 70;U;O;C;DOCTOR GOMEZ FERRER;19;I;;;;S;"{""coordinates"": [-0.360088230897124, 39.48125585791261], ""type"": ""Point""}";39.48125585791261, -0.360088230897124
3516;H387;3 O 70;U;O;C;ALBALAT DELS TARONGERS;8;D;;2.5;3.0;S;"{""coordinates"": [-0.35035607479854564, 39.47812077714638], ""type"": ""Point""}";39.47812077714638, -0.35035607479854564
3520;H479;3 O 70;U;O;PL;NELSON MANDELA;1;I;;1.0;1.0;S;"{""coordinates"": [-0.355960153075227, 39.47926043282746], ""type"": ""Point""}";39.47926043282746, -0.355960153075227
3523;H279;3 O 70;U;O;C;DANIEL BALACIART;3;I;;2.0;;S;"{""coordinates"": [-0.35603139713264276, 39.48032004231164], ""type"": ""Point""}";39.48032004231164, -0.35603139713264276
3524;H285;3 O 70;U;O;C;GUARDIA CIVIL, LA;22;I;;1.5;1.5;S;"{""coordinates"": [-0.3558949742391799, 39.480707918184905], ""type"": ""Point""}";39.480707918184905, -0.3558949742391799
3531;H171;3 O 70;U;O;C;COLON;25;D;;2.5;;S;"{""coordinates"": [-0.37228437607510945, 39.46903805480234], ""type"": ""Point""}";39.46903805480234, -0.37228437607510945
3535;H466;3 O 70;U;O;C;PADRE FERNANDO CASANOVA BENLLOCH, S.J.;15 Acc;D;2.0;14.0;;S;"{""coordinates"": [-0.39614245094501505, 39.487305632265894], ""type"": ""Point""}";39.487305632265894, -0.39614245094501505
3538;H34;3 O 70;U;O;Avd;BURJASOT;93;D;;1.5;;S;"{""coordinates"": [-0.3898259068960568, 39.48881951560203], ""type"": ""Point""}";39.48881951560203, -0.3898259068960568
3544;H613;3 O 70;U;O;C;SAGUNTO;131;D;;1.5;;S;"{""coordinates"": [-0.37531182348199194, 39.48855129363806], ""type"": ""Point""}";39.48855129363806, -0.37531182348199194
2916;H160;3 O 70;U;O;C;CISCAR;13;D;;2.5;;S;"{""coordinates"": [-0.3662003129853807, 39.46698113017792], ""type"": ""Point""}";39.46698113017792, -0.3662003129853807
2919;H48;3 O 70;U;O;G.V.;MARQUES DEL TURIA;19;D;1.5;3.0;;S;"{""coordinates"": [-0.3724341590267748, 39.465731565080546], ""type"": ""Point""}";39.465731565080546, -0.3724341590267748
2926;H50;3 O 70;U;O;Avd;PEREZ GALDOS;39;D;;1.0;;S;"{""coordinates"": [-0.38921176109123523, 39.46555207325997], ""type"": ""Point""}";39.46555207325997, -0.38921176109123523
2936;H711;3 O 70;U;O;Avd;FRANCIA;16 Acc;D;;;;S;"{""coordinates"": [-0.3506243165984911, 39.4596990543506], ""type"": ""Point""}";39.4596990543506, -0.3506243165984911
2948;H842;3 O 70;U;O;C;RIO ESCALONA;25;D;;0.5;;S;"{""coordinates"": [-0.3540994885263055, 39.46358882008311], ""type"": ""Point""}";39.46358882008311, -0.3540994885263055
2950;H180;3 O 70;U;O;Cno.;PEÑARROCHA;1 Acc;D;;1.0;;S;"{""coordinates"": [-0.3566806162120212, 39.46328320573365], ""type"": ""Point""}";39.46328320573365, -0.3566806162120212
2951;H753;3 O 70;U;O;C;ISLAS CANARIAS;90 Acc.;D;;3.0;2.0;S;"{""coordinates"": [-0.34882368375422745, 39.46433757888779], ""type"": ""Point""}";39.46433757888779, -0.34882368375422745
2954;H447;3 O 70;U;O;C;ASTURIAS;22;I;;3.0;;S;"{""coordinates"": [-0.3559371901168388, 39.4650006907216], ""type"": ""Point""}";39.4650006907216, -0.3559371901168388
2963;H523;3 O 70;U;O;AV;PUERTO;60;D;2.0;1.0;0.0;S;"{""coordinates"": [-0.3551312240435063, 39.46652962561811], ""type"": ""Point""}";39.46652962561811, -0.3551312240435063
2969;H707;3 O 70;U;O;Avd;FRANCIA;55;D;;;;S;"{""coordinates"": [-0.34550700457162764, 39.45914901623405], ""type"": ""Point""}";39.45914901623405, -0.34550700457162764
2975;H873;1 O 70;U;O;C;TRAFALGAR;34 C;D;;1.0;;S;"{""coordinates"": [-0.3452016784929453, 39.461070503471355], ""type"": ""Point""}";39.461070503471355, -0.3452016784929453
2991;H775;3 O 70;U;O;C;Luis Bolinches Compañ;11;D;;4.0;2.0;S;"{""coordinates"": [-0.3465614110394355, 39.45780876165254], ""type"": ""Point""}";39.45780876165254, -0.3465614110394355
