OBJECTID;Nombre Places / Número Plazas;geo_shape;geo_point_2d
223446;1;"{""coordinates"": [-0.33809701927269536, 39.45763984722163], ""type"": ""Point""}";39.45763984722163, -0.33809701927269536
223447;1;"{""coordinates"": [-0.33784846978435845, 39.45764670330379], ""type"": ""Point""}";39.45764670330379, -0.33784846978435845
223449;1;"{""coordinates"": [-0.3358748904196478, 39.45791082149496], ""type"": ""Point""}";39.45791082149496, -0.3358748904196478
223456;1;"{""coordinates"": [-0.37124819757998917, 39.48425601187775], ""type"": ""Point""}";39.48425601187775, -0.37124819757998917
223458;1;"{""coordinates"": [-0.3552994447741609, 39.485193354613266], ""type"": ""Point""}";39.485193354613266, -0.3552994447741609
223459;1;"{""coordinates"": [-0.38722967966906413, 39.48836335667746], ""type"": ""Point""}";39.48836335667746, -0.38722967966906413
223460;1;"{""coordinates"": [-0.38088791962297613, 39.451766091144364], ""type"": ""Point""}";39.451766091144364, -0.38088791962297613
223465;1;"{""coordinates"": [-0.35578155516989346, 39.48453267016802], ""type"": ""Point""}";39.48453267016802, -0.35578155516989346
223470;1;"{""coordinates"": [-0.3308865739457049, 39.472745602099906], ""type"": ""Point""}";39.472745602099906, -0.3308865739457049
223475;1;"{""coordinates"": [-0.35270764763353674, 39.4778715981874], ""type"": ""Point""}";39.4778715981874, -0.35270764763353674
223476;1;"{""coordinates"": [-0.35277084359709904, 39.47814852558985], ""type"": ""Point""}";39.47814852558985, -0.35277084359709904
223479;1;"{""coordinates"": [-0.3504143063613099, 39.47736102754688], ""type"": ""Point""}";39.47736102754688, -0.3504143063613099
223481;1;"{""coordinates"": [-0.35056024931344865, 39.475682754174095], ""type"": ""Point""}";39.475682754174095, -0.35056024931344865
223485;1;"{""coordinates"": [-0.3588867910889899, 39.46870353290753], ""type"": ""Point""}";39.46870353290753, -0.3588867910889899
223486;1;"{""coordinates"": [-0.3571872781570926, 39.469189900104425], ""type"": ""Point""}";39.469189900104425, -0.3571872781570926
223493;1;"{""coordinates"": [-0.3545882795425163, 39.47564953450742], ""type"": ""Point""}";39.47564953450742, -0.3545882795425163
223494;1;"{""coordinates"": [-0.3555224810972522, 39.47396815969909], ""type"": ""Point""}";39.47396815969909, -0.3555224810972522
223495;1;"{""coordinates"": [-0.35447570370149184, 39.47454902895554], ""type"": ""Point""}";39.47454902895554, -0.35447570370149184
223497;1;"{""coordinates"": [-0.35331841324741403, 39.47411940846287], ""type"": ""Point""}";39.47411940846287, -0.35331841324741403
223499;1;"{""coordinates"": [-0.3838205350565031, 39.43890952882504], ""type"": ""Point""}";39.43890952882504, -0.3838205350565031
223508;1;"{""coordinates"": [-0.33218398168026, 39.4712356400568], ""type"": ""Point""}";39.4712356400568, -0.33218398168026
223509;1;"{""coordinates"": [-0.35421701809736295, 39.47285389750875], ""type"": ""Point""}";39.47285389750875, -0.35421701809736295
223511;1;"{""coordinates"": [-0.3561405570438132, 39.47269694285481], ""type"": ""Point""}";39.47269694285481, -0.3561405570438132
223514;1;"{""coordinates"": [-0.3701514416926184, 39.472537917609564], ""type"": ""Point""}";39.472537917609564, -0.3701514416926184
223515;1;"{""coordinates"": [-0.37389734648031775, 39.47536471460597], ""type"": ""Point""}";39.47536471460597, -0.37389734648031775
223518;1;"{""coordinates"": [-0.33351829764836194, 39.46953325402095], ""type"": ""Point""}";39.46953325402095, -0.33351829764836194
223520;1;"{""coordinates"": [-0.3302675346918452, 39.471042884527016], ""type"": ""Point""}";39.471042884527016, -0.3302675346918452
223524;1;"{""coordinates"": [-0.2826175910029717, 39.289107044369075], ""type"": ""Point""}";39.289107044369075, -0.2826175910029717
223525;1;"{""coordinates"": [-0.2842221291655069, 39.291258424599654], ""type"": ""Point""}";39.291258424599654, -0.2842221291655069
223529;1;"{""coordinates"": [-0.28455534977676156, 39.291831932962516], ""type"": ""Point""}";39.291831932962516, -0.28455534977676156
223530;1;"{""coordinates"": [-0.3273046780677742, 39.47776030208803], ""type"": ""Point""}";39.47776030208803, -0.3273046780677742
223531;1;"{""coordinates"": [-0.3807992823495224, 39.49137542583832], ""type"": ""Point""}";39.49137542583832, -0.3807992823495224
223534;1;"{""coordinates"": [-0.3304608436127255, 39.46817058453572], ""type"": ""Point""}";39.46817058453572, -0.3304608436127255
223536;1;"{""coordinates"": [-0.3579171155052732, 39.46516884347529], ""type"": ""Point""}";39.46516884347529, -0.3579171155052732
223537;1;"{""coordinates"": [-0.3577292914746088, 39.465112736701215], ""type"": ""Point""}";39.465112736701215, -0.3577292914746088
223540;1;"{""coordinates"": [-0.39622202214559976, 39.47127748367996], ""type"": ""Point""}";39.47127748367996, -0.39622202214559976
223542;1;"{""coordinates"": [-0.40477747320415713, 39.467154056880304], ""type"": ""Point""}";39.467154056880304, -0.40477747320415713
223550;1;"{""coordinates"": [-0.3740635048457151, 39.45588109329357], ""type"": ""Point""}";39.45588109329357, -0.3740635048457151
223551;1;"{""coordinates"": [-0.3452765135731411, 39.460913622650956], ""type"": ""Point""}";39.460913622650956, -0.3452765135731411
223552;1;"{""coordinates"": [-0.3450036263180342, 39.46146249082849], ""type"": ""Point""}";39.46146249082849, -0.3450036263180342
223553;1;"{""coordinates"": [-0.3449829078981968, 39.46150397132058], ""type"": ""Point""}";39.46150397132058, -0.3449829078981968
223557;1;"{""coordinates"": [-0.3292190338035796, 39.46825648931893], ""type"": ""Point""}";39.46825648931893, -0.3292190338035796
223558;1;"{""coordinates"": [-0.391772674407432, 39.43282208990861], ""type"": ""Point""}";39.43282208990861, -0.391772674407432
223559;1;"{""coordinates"": [-0.3935130659736046, 39.428009671114296], ""type"": ""Point""}";39.428009671114296, -0.3935130659736046
223562;1;"{""coordinates"": [-0.37935154275872784, 39.470055159434864], ""type"": ""Point""}";39.470055159434864, -0.37935154275872784
223566;1;"{""coordinates"": [-0.36493301560250574, 39.42906989330814], ""type"": ""Point""}";39.42906989330814, -0.36493301560250574
223568;1;"{""coordinates"": [-0.3794547106739588, 39.48482891501999], ""type"": ""Point""}";39.48482891501999, -0.3794547106739588
223572;1;"{""coordinates"": [-0.38559029013420265, 39.483992056090656], ""type"": ""Point""}";39.483992056090656, -0.38559029013420265
223574;1;"{""coordinates"": [-0.35814012022617003, 39.468601878556996], ""type"": ""Point""}";39.468601878556996, -0.35814012022617003
223577;1;"{""coordinates"": [-0.3432907192902238, 39.46190545005491], ""type"": ""Point""}";39.46190545005491, -0.3432907192902238
223581;1;"{""coordinates"": [-0.34316696967202914, 39.431654518127374], ""type"": ""Point""}";39.431654518127374, -0.34316696967202914
223583;1;"{""coordinates"": [-0.3876665721268588, 39.4836599410149], ""type"": ""Point""}";39.4836599410149, -0.3876665721268588
223589;1;"{""coordinates"": [-0.3731773571171219, 39.45412808814921], ""type"": ""Point""}";39.45412808814921, -0.3731773571171219
223590;1;"{""coordinates"": [-0.37221970268937454, 39.45464489641362], ""type"": ""Point""}";39.45464489641362, -0.37221970268937454
223591;1;"{""coordinates"": [-0.37142643851045654, 39.45457860786185], ""type"": ""Point""}";39.45457860786185, -0.37142643851045654
223592;1;"{""coordinates"": [-0.37080929307974936, 39.45504105227162], ""type"": ""Point""}";39.45504105227162, -0.37080929307974936
223594;1;"{""coordinates"": [-0.3695616798228009, 39.454907626185616], ""type"": ""Point""}";39.454907626185616, -0.3695616798228009
223599;1;"{""coordinates"": [-0.33312887230978006, 39.38314521899609], ""type"": ""Point""}";39.38314521899609, -0.33312887230978006
223600;2;"{""coordinates"": [-0.324559304827304, 39.380363802355845], ""type"": ""Point""}";39.380363802355845, -0.324559304827304
