"","id_plaza","n_plazas","districto","latitud","longitud"
"1603",224121,1,"CAMINS AL GRAU",39.4652639641912,-0.345816111964976
"1604",224124,3,"POBLATS DEL SUD",39.3804650874446,-0.324400683933224
"1605",224125,1,"ALGIROS",39.4766675052662,-0.348658990617596
"1606",224127,1,"POBLATS DEL SUD",39.2964223437496,-0.288237413379569
"1607",224130,1,"PATRAIX",39.4620383625475,-0.388462137658757
"1608",224133,1,"POBLATS MARITIMS",39.4640249427341,-0.329409980126494
"1609",224134,1,"POBLATS MARITIMS",39.4637890678404,-0.329953812053181
"1610",224135,1,"POBLATS DE L'OEST",39.5040503752672,-0.420243849624898
"1611",224140,1,"POBLATS DEL NORD",39.5395583753878,-0.404073816075536
"1612",224142,1,"L'OLIVERETA",39.4726272811094,-0.40281786365298
"1613",224143,1,"ALGIROS",39.4752456102318,-0.34826620537844
"1614",224144,1,"POBLATS MARITIMS",39.4602151139527,-0.335897958940196
"1615",224148,1,"RASCANYA",39.4930829949241,-0.371939308759051
"1616",224152,1,"POBLATS MARITIMS",39.4627830998876,-0.333705076222432
"1617",224153,2,"CAMINS AL GRAU",39.4676799695101,-0.346519110116588
"1618",224154,1,"CAMINS AL GRAU",39.4674009245971,-0.348271140318753
"1619",224155,1,"LA SAIDIA",39.4862733863112,-0.368440092294498
"1620",224157,1,"ALGIROS",39.4681569983453,-0.342461049123637
"1621",224160,1,"RASCANYA",39.4927272490951,-0.370312013653315
"1622",224161,1,"POBLATS DE L'OEST",39.5025916801008,-0.414337051513135
"1623",224162,1,"L'OLIVERETA",39.4653969785203,-0.401953294987163
"1624",224166,1,"EXTRAMURS",39.4753072793342,-0.392898088081696
"1625",224167,1,"L'EIXAMPLE",39.4717785592413,-0.368499162625248
"1626",224168,1,"EXTRAMURS",39.4734647091382,-0.390334702960018
"1627",224169,1,"L'OLIVERETA",39.4703163622199,-0.399727467370053
"1628",224172,1,"BENIMACLET",39.4838876086565,-0.361589308177249
"1629",224175,1,"ALGIROS",39.4707864284163,-0.343688871374285
"1630",224176,2,"EL PLA DEL REAL",39.4737913952282,-0.364214204987573
"1631",224182,2,"CAMINS AL GRAU",39.4630867529728,-0.348565268656857
"1632",224184,2,"EXTRAMURS",39.4679211987884,-0.388918988518127
"1633",224189,1,"QUATRE CARRERES",39.4561471984489,-0.376859373965298
"1634",224190,2,"CIUTAT VELLA",39.4754806669745,-0.369562888023653
