"","station","wday","hour","mean.day"
"28216","168","7",15,11.3433390768588
"28217","168","7",16,11.220376984127
"28218","168","7",17,10.7521472269131
"28219","168","7",18,10.3145540698337
"28220","168","7",19,9.62636412198912
"28221","168","7",20,9.5014126984127
"28222","168","7",21,9.56052308802309
"28223","168","7",22,9.35094606782107
"28224","168","7",23,9.33234126984127
"28225","169","1",0,7.26556776556777
"28226","169","1",1,7.67124542124542
"28227","169","1",2,7.8962148962149
"28228","169","1",3,8.0220288970289
"28229","169","1",4,8.13268213268213
"28230","169","1",5,8.3252442002442
"28231","169","1",6,8.49023199023199
"28232","169","1",7,8.64896214896215
"28233","169","1",8,9.18848558848559
"28234","169","1",9,10.2423548673549
"28235","169","1",10,11.4953856684626
"28236","169","1",11,13.8115003816361
"28237","169","1",12,15.5283124994663
"28238","169","1",13,15.3840434494281
"28239","169","1",14,16.2064923680308
"28240","169","1",15,16.3848758420978
"28241","169","1",16,15.157998874345
"28242","169","1",17,13.1936481085267
"28243","169","1",18,11.393838177492
"28244","169","1",19,10.074648847047
"28245","169","1",20,9.51171236171236
"28246","169","1",21,9.19871794871795
"28247","169","1",22,8.89597069597069
"28248","169","1",23,8.75518925518926
"28249","169","2",0,8.82014652014652
"28250","169","2",1,8.93162393162393
"28251","169","2",2,8.94871794871795
"28252","169","2",3,8.94871794871795
"28253","169","2",4,8.94871794871795
"28254","169","2",5,9.24940476190476
"28255","169","2",6,9.16279761904762
"28256","169","2",7,9.09384920634921
"28257","169","2",8,9.33138888888889
"28258","169","2",9,9.71274818931069
"28259","169","2",10,9.83861089890502
"28260","169","2",11,10.0376316738817
"28261","169","2",12,10.7115453296703
"28262","169","2",13,10.6596455627706
"28263","169","2",14,10.4110864135864
"28264","169","2",15,10.1913357475857
"28265","169","2",16,9.5275573038073
"28266","169","2",17,8.44233676046176
"28267","169","2",18,7.99884768009768
"28268","169","2",19,7.66907432844933
"28269","169","2",20,7.95068452380952
"28270","169","2",21,7.80352182539682
"28271","169","2",22,7.63571428571429
"28272","169","2",23,7.5625
"28273","169","3",0,7.60595238095238
"28274","169","3",1,7.625
"28275","169","3",2,7.625
"28276","169","3",3,7.625
"28277","169","3",4,7.63928571428572
"28278","169","3",5,7.67440476190476
"28279","169","3",6,7.46691468253968
"28280","169","3",7,7.89147817460317
"28281","169","3",8,8.53536833536833
"28282","169","3",9,9.03649697159566
"28283","169","3",10,9.08240141072378
"28284","169","3",11,9.74619221872899
"28285","169","3",12,10.2133293789544
"28286","169","3",13,10.584768009768
"28287","169","3",14,11.1042400308025
"28288","169","3",15,10.970340007215
"28289","169","3",16,9.87651180518828
"28290","169","3",17,8.89557818095647
"28291","169","3",18,8.42040598290598
"28292","169","3",19,8.42091630591631
"28293","169","3",20,8.70059523809524
"28294","169","3",21,8.8320698051948
"28295","169","3",22,8.79661706349206
"28296","169","3",23,8.62785714285714
"28297","169","4",0,8.4625
"28298","169","4",1,8.19136904761904
"28299","169","4",2,8.15
"28300","169","4",3,8.16071428571429
"28301","169","4",4,8.175
"28302","169","4",5,8.18571428571429
"28303","169","4",6,8.10327380952381
"28304","169","4",7,8.09662878787879
"28305","169","4",8,8.99869047619048
"28306","169","4",9,9.96472811910312
"28307","169","4",10,10.2982882395382
"28308","169","4",11,10.5524514922212
"28309","169","4",12,10.8084798534799
"28310","169","4",13,11.1968650793651
"28311","169","4",14,11.7630753968254
"28312","169","4",15,12.0693154761905
"28313","169","4",16,11.1560801698302
"28314","169","4",17,9.71384577228327
"28315","169","4",18,8.84010912698413
"28316","169","4",19,8.36866071428571
"28317","169","4",20,8.45570436507936
"28318","169","4",21,8.47796626984127
"28319","169","4",22,8.20014880952381
"28320","169","4",23,8.26405677655677
"28321","169","5",0,8.22511904761905
"28322","169","5",1,8.17083333333333
"28323","169","5",2,8.25267857142857
"28324","169","5",3,8.29389499389499
"28325","169","5",4,8.33134920634921
"28326","169","5",5,8.17948717948718
"28327","169","5",6,8.32122507122507
"28328","169","5",7,8.41799130566099
"28329","169","5",8,9.3756919006919
"28330","169","5",9,10.0793964076859
"28331","169","5",10,10.5304959230656
"28332","169","5",11,10.9796517809676
"28333","169","5",12,11.8576745326745
"28334","169","5",13,12.0519626769627
"28335","169","5",14,12.9602765102765
"28336","169","5",15,13.041224016224
"28337","169","5",16,11.8606361444597
"28338","169","5",17,10.5435816435816
"28339","169","5",18,9.44981555275673
"28340","169","5",19,9.07727955227955
"28341","169","5",20,9.2243135993136
"28342","169","5",21,9.31816156816156
"28343","169","5",22,9.38054288054288
"28344","169","5",23,9.26383526383527
"28345","169","6",0,9.22249034749034
