Municipios;Distritos;Secciones;Distribución por fuente de ingresos;Periodo;Total
46250 València;4625004 València distrito 04;4625004004 València sección 04004;Renta bruta media por persona;2021;16.375,00
46250 València;4625004 València distrito 04;4625004004 València sección 04004;Fuente de ingreso: salario;2021;8.368,00
46250 València;4625004 València distrito 04;4625004005 València sección 04005;Renta bruta media por persona;2021;22.900,00
46250 València;4625004 València distrito 04;4625004005 València sección 04005;Fuente de ingreso: salario;2021;9.911,00
46250 València;4625004 València distrito 04;4625004006 València sección 04006;Renta bruta media por persona;2021;20.694,00
46250 València;4625004 València distrito 04;4625004006 València sección 04006;Fuente de ingreso: salario;2021;10.022,00
46250 València;4625004 València distrito 04;4625004007 València sección 04007;Renta bruta media por persona;2021;18.246,00
46250 València;4625004 València distrito 04;4625004007 València sección 04007;Fuente de ingreso: salario;2021;8.867,00
46250 València;4625004 València distrito 04;4625004008 València sección 04008;Renta bruta media por persona;2021;17.590,00
46250 València;4625004 València distrito 04;4625004008 València sección 04008;Fuente de ingreso: salario;2021;8.049,00
46250 València;4625004 València distrito 04;4625004009 València sección 04009;Renta bruta media por persona;2021;13.604,00
46250 València;4625004 València distrito 04;4625004009 València sección 04009;Fuente de ingreso: salario;2021;7.287,00
46250 València;4625004 València distrito 04;4625004010 València sección 04010;Renta bruta media por persona;2021;18.862,00
46250 València;4625004 València distrito 04;4625004010 València sección 04010;Fuente de ingreso: salario;2021;8.991,00
46250 València;4625004 València distrito 04;4625004011 València sección 04011;Renta bruta media por persona;2021;13.666,00
46250 València;4625004 València distrito 04;4625004011 València sección 04011;Fuente de ingreso: salario;2021;7.265,00
46250 València;4625004 València distrito 04;4625004012 València sección 04012;Renta bruta media por persona;2021;10.775,00
46250 València;4625004 València distrito 04;4625004012 València sección 04012;Fuente de ingreso: salario;2021;5.609,00
46250 València;4625004 València distrito 04;4625004014 València sección 04014;Renta bruta media por persona;2021;12.906,00
46250 València;4625004 València distrito 04;4625004014 València sección 04014;Fuente de ingreso: salario;2021;6.709,00
46250 València;4625004 València distrito 04;4625004015 València sección 04015;Renta bruta media por persona;2021;12.630,00
46250 València;4625004 València distrito 04;4625004015 València sección 04015;Fuente de ingreso: salario;2021;6.783,00
46250 València;4625004 València distrito 04;4625004016 València sección 04016;Renta bruta media por persona;2021;11.845,00
46250 València;4625004 València distrito 04;4625004016 València sección 04016;Fuente de ingreso: salario;2021;6.536,00
46250 València;4625004 València distrito 04;4625004017 València sección 04017;Renta bruta media por persona;2021;18.771,00
46250 València;4625004 València distrito 04;4625004017 València sección 04017;Fuente de ingreso: salario;2021;9.332,00
46250 València;4625004 València distrito 04;4625004018 València sección 04018;Renta bruta media por persona;2021;23.184,00
46250 València;4625004 València distrito 04;4625004018 València sección 04018;Fuente de ingreso: salario;2021;15.470,00
46250 València;4625004 València distrito 04;4625004019 València sección 04019;Renta bruta media por persona;2021;27.421,00
46250 València;4625004 València distrito 04;4625004019 València sección 04019;Fuente de ingreso: salario;2021;19.581,00
46250 València;4625004 València distrito 04;4625004020 València sección 04020;Renta bruta media por persona;2021;20.923,00
46250 València;4625004 València distrito 04;4625004020 València sección 04020;Fuente de ingreso: salario;2021;10.354,00
46250 València;4625004 València distrito 04;4625004021 València sección 04021;Renta bruta media por persona;2021;20.436,00
46250 València;4625004 València distrito 04;4625004021 València sección 04021;Fuente de ingreso: salario;2021;11.478,00
46250 València;4625004 València distrito 04;4625004022 València sección 04022;Renta bruta media por persona;2021;17.613,00
46250 València;4625004 València distrito 04;4625004022 València sección 04022;Fuente de ingreso: salario;2021;8.100,00
46250 València;4625004 València distrito 04;4625004023 València sección 04023;Renta bruta media por persona;2021;15.737,00
46250 València;4625004 València distrito 04;4625004023 València sección 04023;Fuente de ingreso: salario;2021;8.237,00
46250 València;4625004 València distrito 04;4625004024 València sección 04024;Renta bruta media por persona;2021;24.534,00
46250 València;4625004 València distrito 04;4625004024 València sección 04024;Fuente de ingreso: salario;2021;16.948,00
46250 València;4625004 València distrito 04;4625004025 València sección 04025;Renta bruta media por persona;2021;19.470,00
46250 València;4625004 València distrito 04;4625004025 València sección 04025;Fuente de ingreso: salario;2021;12.941,00
46250 València;4625004 València distrito 04;4625004026 València sección 04026;Renta bruta media por persona;2021;23.648,00
46250 València;4625004 València distrito 04;4625004026 València sección 04026;Fuente de ingreso: salario;2021;16.270,00
46250 València;4625004 València distrito 04;4625004027 València sección 04027;Renta bruta media por persona;2021;22.466,00
46250 València;4625004 València distrito 04;4625004027 València sección 04027;Fuente de ingreso: salario;2021;15.980,00
46250 València;4625004 València distrito 04;4625004028 València sección 04028;Renta bruta media por persona;2021;24.297,00
46250 València;4625004 València distrito 04;4625004028 València sección 04028;Fuente de ingreso: salario;2021;14.731,00
46250 València;4625004 València distrito 04;4625004029 València sección 04029;Renta bruta media por persona;2021;
46250 València;4625004 València distrito 04;4625004029 València sección 04029;Fuente de ingreso: salario;2021;
46250 València;4625004 València distrito 04;4625004030 València sección 04030;Renta bruta media por persona;2021;
46250 València;4625004 València distrito 04;4625004030 València sección 04030;Fuente de ingreso: salario;2021;
46250 València;4625005 València distrito 05;;Renta bruta media por persona;2021;16.194,00
46250 València;4625005 València distrito 05;;Fuente de ingreso: salario;2021;9.156,00
46250 València;4625005 València distrito 05;4625005001 València sección 05001;Renta bruta media por persona;2021;18.839,00
46250 València;4625005 València distrito 05;4625005001 València sección 05001;Fuente de ingreso: salario;2021;8.477,00
46250 València;4625005 València distrito 05;4625005002 València sección 05002;Renta bruta media por persona;2021;12.404,00
46250 València;4625005 València distrito 05;4625005002 València sección 05002;Fuente de ingreso: salario;2021;7.211,00
46250 València;4625005 València distrito 05;4625005003 València sección 05003;Renta bruta media por persona;2021;11.457,00
